epoch,accuracy,loss,val_accuracy,val_loss
0,0.0908333361148834,2.890677690505981,0.1638888865709304,2.7538928985595703
1,0.2180952429771423,2.535594701766968,0.4044444561004638,2.0989019870758057
2,0.3745238184928894,2.065314531326294,0.5344444513320923,1.6010169982910156
3,0.4527381062507629,1.7718212604522705,0.602222204208374,1.301153540611267
4,0.5077381134033203,1.5827943086624146,0.6499999761581421,1.154688000679016
5,0.5494047403335571,1.443767547607422,0.6677777767181396,1.0633355379104614
6,0.5883333086967468,1.3365864753723145,0.7066666483879089,0.9704304337501526
7,0.6136904954910278,1.2412537336349487,0.7366666793823242,0.8856397867202759
8,0.631428599357605,1.1782982349395752,0.7627778053283691,0.8293306231498718
9,0.6536904573440552,1.116151213645935,0.7699999809265137,0.7915344834327698
10,0.6645237803459167,1.0650324821472168,0.757777750492096,0.8038841485977173
11,0.6817857027053833,1.028003454208374,0.7861111164093018,0.7495903968811035
12,0.6986904740333557,0.9793643951416016,0.7799999713897705,0.7346423864364624
13,0.7096428275108337,0.9297046661376952,0.7994444370269775,0.6911763548851013
14,0.7165476083755493,0.9122332334518432,0.7955555319786072,0.6916877031326294
15,0.7327380776405334,0.861412525177002,0.7900000214576721,0.7001570463180542
16,0.7323809266090393,0.8507316708564758,0.7955555319786072,0.6883731484413147
17,0.7394047379493713,0.8252865076065063,0.8105555772781372,0.6420770287513733
18,0.7480952143669128,0.7856565117835999,0.8149999976158142,0.6198633313179016
19,0.7560714483261108,0.7705056667327881,0.8294444680213928,0.5868353843688965
20,0.7597619295120239,0.7548443078994751,0.8294444680213928,0.5890530943870544
21,0.7614285945892334,0.7265348434448242,0.824999988079071,0.6315350532531738
22,0.7686904668807983,0.7278439998626709,0.8227777481079102,0.589461088180542
23,0.7711904644966125,0.7066816091537476,0.8461111187934875,0.5554426312446594
24,0.7769047617912292,0.6902755498886108,0.8433333039283752,0.5435729026794434
25,0.7867857217788696,0.6668386459350586,0.8461111187934875,0.5507937073707581
26,0.7907142639160156,0.6540186405181885,0.8461111187934875,0.5449212789535522
27,0.7994047403335571,0.6159926652908325,0.8500000238418579,0.5356045961380005
28,0.7955952286720276,0.6395471692085266,0.8577777743339539,0.5318165421485901
29,0.7955952286720276,0.6116227507591248,0.8444444537162781,0.5430421829223633
30,0.8055952191352844,0.6014623045921326,0.8516666889190674,0.5373523831367493
31,0.8111904859542847,0.5679247975349426,0.851111114025116,0.5495129227638245
32,0.8116666674613953,0.5777897834777832,0.8461111187934875,0.5764138698577881
33,0.8263095021247864,0.5460540056228638,0.8550000190734863,0.524644136428833
34,0.8155952095985413,0.5607264637947083,0.8638888597488403,0.5016111731529236
35,0.8190476298332214,0.5438122153282166,0.8688889145851135,0.4909768104553222
36,0.8278571367263794,0.5269498229026794,0.8583333492279053,0.4943940639495849
37,0.8322619199752808,0.5158056616783142,0.8622221946716309,0.4955868721008301
38,0.8313094973564148,0.5181053876876831,0.8655555844306946,0.4934980869293213
39,0.8319047689437866,0.5047903656959534,0.8572221994400024,0.5187835693359375
40,0.836904764175415,0.4916976988315582,0.8744444251060486,0.4671754539012909
41,0.8409523963928223,0.4882846176624298,0.8711110949516296,0.4838471710681915
42,0.8461904525756836,0.4791070520877838,0.8650000095367432,0.5096955895423889
43,0.8473809361457825,0.4634848535060882,0.870555579662323,0.4601619839668274
44,0.8476190567016602,0.4568410217761993,0.8700000047683716,0.4848940074443817
45,0.8492857217788696,0.4469654262065887,0.8594444394111633,0.5251374840736389
46,0.8539285659790039,0.4456005394458771,0.8805555701255798,0.4648714065551758
47,0.853690505027771,0.4347632229328155,0.8761110901832581,0.4870803952217102
48,0.8551190495491028,0.4499098062515259,0.879444420337677,0.4743871092796325
49,0.8553571701049805,0.4341148436069488,0.8788889050483704,0.4619744122028351
